InputDictionarySize,Test 1 Time Results (Removing from front), Test 2 Time Results (Removing from back)
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,1
700,0,1
800,0,1
900,1,1
1000,1,1
1100,1,2
1200,1,2
1300,0,2
1400,1,3
1500,1,3
1600,1,3
1700,1,4
1800,2,5
1900,2,5
2000,2,6
2100,2,6
2200,2,7
2300,2,7
2400,3,8
2500,3,11
2600,3,11
2700,4,14
2800,4,14
2900,5,13
3000,4,17
3100,5,14
3200,5,15
3300,5,18
3400,6,19
3500,5,20
3600,7,21
3700,16,21
3800,12,21
3900,9,22
4000,10,23
4100,9,25
4200,10,25
4300,12,26
4400,10,29
4500,14,30
4600,12,36
4700,15,32
4800,14,39
4900,15,35
5000,17,36
5100,15,38
5200,15,39
5300,17,41
5400,22,42
5500,17,43
5600,19,47
5700,16,47
5800,16,51
5900,16,51
6000,17,53
6100,18,56
6200,19,57
6300,21,62
6400,22,63
6500,23,62
6600,22,65
6700,23,68
6800,25,70
6900,24,74
7000,25,75
7100,25,77
7200,26,78
7300,29,81
7400,37,82
7500,32,85
7600,30,93
7700,31,101
7800,33,94
7900,33,95
8000,34,112
8100,34,100
8200,36,105
8300,35,105
8400,40,110
8500,36,121
8600,34,113
8700,36,117
8800,41,121
8900,43,121
9000,41,124
9100,42,134
9200,42,132
9300,43,133
9400,42,139
9500,43,141
9600,44,143
9700,47,152
9800,47,151
9900,46,154
10000,48,154
10100,50,157
10200,51,166
10300,52,164
10400,52,169
10500,58,172
10600,59,177
10700,72,208
10800,64,197
10900,64,187
11000,61,187
11100,59,195
11200,58,197
11300,64,199
11400,64,205
11500,71,208
11600,74,208
11700,64,216
11800,68,216
11900,71,223
12000,72,230
12100,74,232
12200,75,236
12300,74,245
12400,76,258
12500,78,253
12600,81,256
12700,79,256
12800,81,279
12900,83,260
13000,86,273
13100,85,269
13200,84,272
13300,87,279
13400,88,286
13500,88,289
13600,90,289
13700,94,301
13800,106,298
13900,93,306
14000,103,313
14100,101,316
14200,102,316
14300,98,327
14400,104,327
14500,113,351
14600,106,345
14700,107,340
14800,108,344
14900,110,354
15000,114,353
15100,115,358
15200,115,369
15300,125,378
15400,120,405
15500,120,404
15600,124,384
15700,128,391
15800,122,403
15900,122,402
16000,131,411
16100,125,411
16200,134,421
16300,135,460
16400,139,428
16500,135,431
16600,165,438
16700,173,442
16800,161,451
16900,148,451
17000,151,463
17100,144,487
17200,148,479
17300,159,478
17400,191,485
17500,162,490
17600,161,490
17700,163,521
17800,169,513
17900,165,517
18000,199,515
18100,164,545
18200,170,533
18300,175,537
18400,188,553
18500,172,550
18600,168,556
18700,173,573
18800,172,567
18900,189,605
19000,183,601
19100,180,648
19200,183,634
19300,187,670
19400,212,603
19500,207,611
19600,192,610
19700,201,616
19800,235,629
19900,230,635
