InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,0,0,0
1100,1,0,0
1200,0,0,0
1300,0,0,0
1400,1,0,0
1500,1,0,0
1600,1,0,0
1700,1,0,0
1800,1,0,0
1900,1,0,0
2000,2,0,0
2100,2,0,0
2200,1,0,0
2300,3,0,0
2400,2,0,0
2500,4,0,0
2600,3,0,0
2700,3,0,0
2800,4,0,0
2900,4,0,0
3000,4,0,0
3100,5,0,0
3200,5,0,0
3300,5,0,0
3400,6,0,0
3500,6,0,0
3600,7,0,0
3700,7,0,0
3800,7,0,0
3900,8,0,0
4000,8,0,0
4100,8,0,0
4200,9,0,0
4300,9,0,0
4400,10,0,0
4500,11,0,0
4600,11,0,0
4700,11,0,0
4800,12,0,0
4900,12,0,0
5000,13,0,0
5100,13,0,0
5200,15,0,0
5300,14,0,0
5400,15,0,0
5500,16,0,0
5600,16,0,0
5700,17,0,0
5800,18,0,0
5900,18,0,0
6000,19,0,0
6100,19,0,0
6200,19,0,0
6300,21,0,0
6400,22,0,0
6500,22,0,0
6600,23,0,0
6700,23,0,0
6800,25,0,0
6900,25,0,0
7000,26,0,0
7100,28,0,0
7200,32,0,0
7300,30,0,0
7400,29,0,0
7500,29,0,0
7600,31,0,0
7700,34,0,0
7800,33,0,0
7900,36,0,0
8000,35,0,0
8100,37,0,0
8200,37,0,0
8300,36,0,0
8400,38,0,0
8500,37,0,0
8600,39,0,0
8700,40,0,0
8800,41,0,0
8900,42,0,0
9000,43,0,0
9100,44,0,0
9200,45,0,0
9300,46,0,0
9400,48,0,0
9500,48,0,0
9600,49,0,0
9700,51,0,0
9800,51,0,0
9900,52,0,0
10000,53,0,0
10100,54,0,0
10200,56,0,0
10300,56,0,0
10400,58,0,0
10500,59,0,0
10600,60,0,0
10700,61,0,0
10800,63,0,0
10900,64,0,0
11000,65,0,0
11100,66,0,0
11200,68,0,0
11300,68,0,0
11400,70,0,0
11500,72,0,0
11600,72,0,0
11700,74,0,0
11800,85,0,0
11900,77,0,0
12000,78,0,0
12100,80,0,0
12200,81,0,0
12300,83,0,0
12400,84,0,0
12500,85,0,0
12600,86,0,0
12700,96,0,0
12800,91,0,0
12900,92,0,0
13000,93,0,0
13100,94,0,0
13200,108,0,0
13300,98,0,0
13400,101,0,0
13500,101,0,0
13600,103,0,0
13700,105,0,0
13800,114,0,0
13900,108,0,0
14000,108,0,0
14100,111,0,0
14200,113,0,0
14300,114,0,0
14400,120,0,0
14500,117,0,0
14600,117,0,0
14700,122,0,0
14800,122,0,0
14900,124,0,0
15000,128,0,0
15100,132,0,0
15200,130,0,0
15300,132,0,0
15400,133,0,0
15500,135,0,0
15600,136,0,0
15700,138,0,0
15800,139,0,0
15900,142,0,0
16000,159,0,0
16100,147,0,0
16200,151,0,0
16300,151,0,0
16400,151,0,0
16500,154,0,1
16600,157,0,0
16700,158,0,0
16800,161,0,0
16900,161,0,0
17000,164,0,0
17100,166,0,0
17200,168,0,0
17300,177,0,0
17400,174,0,0
17500,177,0,0
17600,178,0,0
17700,177,0,0
17800,183,0,0
17900,197,0,0
18000,191,0,0
18100,187,0,0
18200,190,0,0
18300,192,0,0
18400,195,0,0
18500,197,0,0
18600,199,0,0
18700,203,0,0
18800,209,0,0
18900,209,0,0
19000,208,0,0
19100,210,1,0
19200,240,0,0
19300,215,0,0
19400,218,0,0
19500,219,0,0
19600,223,0,0
19700,226,0,0
19800,227,0,0
19900,230,0,0
